id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
31251,Viana,2020-11-01,17,129,0.87,6628.63,24490.30,0.73
31252,Vidángoz/Bidankoze,2020-11-01,0,17,1.00,0.00,1831.52,1.00
31253,Bidaurreta,2020-11-01,0,19,1.00,0.00,1761.52,1.00
31254,Villafranca,2020-11-01,6,101,0.94,339.28,14306.83,0.98
31255,Villamayor de Monjardín,2020-11-01,2,19,0.89,229.09,2166.98,0.89
31256,Hiriberri/Villanueva de Aezkoa,2020-11-01,0,20,1.00,0.00,2304.26,1.00
31257,Villatuerta,2020-11-01,4,99,0.96,426.64,16443.85,0.97
31258,Villava/Atarrabia,2020-11-01,0,116,1.00,0.00,11912.09,1.00
31259,Igantzi,2020-11-01,0,27,1.00,0.00,3838.81,1.00
31260,Valle de Yerri,2020-11-01,11,234,0.95,504.71,23370.69,0.98
31261,Yesa,2020-11-01,0,31,1.00,0.00,6312.10,1.00
31262,Zabalza,2020-11-01,0,32,1.00,0.00,3587.29,1.00
31263,Zubieta,2020-11-01,4,42,0.90,103.70,2543.11,0.96
31264,Zugarramurdi,2020-11-01,3,31,0.90,125.08,2339.95,0.95
31265,Zúñiga,2020-11-01,3,18,0.83,87.49,2174.85,0.96
31901,Barañáin/Barañain,2020-11-01,0,179,1.00,0.00,22366.79,1.00
31902,Berrioplano,2020-11-01,4,208,0.98,1063.49,31584.69,0.97
31903,Berriozar,2020-11-01,0,58,1.00,0.00,10426.77,1.00
31904,Irurtzun,2020-11-01,0,40,1.00,0.00,6385.76,1.00
31905,Beriáin,2020-11-01,2,106,0.98,165.89,13200.85,0.99
31906,Orcoyen,2020-11-01,3,92,0.97,1300.45,16338.56,0.92
31907,Zizur Mayor/Zizur Nagusia,2020-11-01,1,278,1.00,58.34,36726.22,1.00
31908,Lekunberri,2020-11-01,2,92,0.98,171.66,12995.02,0.99
-10305682,Andia,2020-11-01,0,0,1,0.00,0.00,1
-342324,Aralar mendilerroa / Sierra de Aralar,2020-11-01,0,0,1,0.00,0.00,1
-342322,Bardenas Reales de Navarra,2020-11-01,0,0,1,0.00,0.00,1
-10305675,Facería 104,2020-11-01,0,0,1,0.00,0.00,1
-346538,Facería 18,2020-11-01,0,0,1,0.00,0.00,1
-10305118,Facería 21,2020-11-01,0,0,1,0.00,0.00,1
-10305674,Facería 22,2020-11-01,0,0,1,0.00,0.00,1
-10305106,Facería 24,2020-11-01,0,0,1,0.00,0.00,1
-10305273,Facería 26,2020-11-01,0,0,1,0.00,0.00,1
-10305272,Facería 28,2020-11-01,0,0,1,0.00,0.00,1
-346536,Facería 29,2020-11-01,0,0,1,0.00,0.00,1
-10305085,Facería 30,2020-11-01,0,0,1,0.00,0.00,1
-3584116,Facería 31,2020-11-01,0,0,1,0.00,0.00,1
-10305330,Facería 37,2020-11-01,0,0,1,0.00,0.00,1
-10305185,Facería 39,2020-11-01,0,0,1,0.00,0.00,1
-10305184,Facería 40,2020-11-01,0,0,1,0.00,0.00,1
,Facería 43,2020-11-01,0,0,1,0.00,0.00,1
-10305186,Facería 45,2020-11-01,0,0,1,0.00,0.00,1
-346537,Facería 49,2020-11-01,0,0,1,0.00,0.00,1
-10305236,Facería 55,2020-11-01,0,0,1,0.00,0.00,1
-342327,Facería 62,2020-11-01,0,0,1,0.00,0.00,1
-3652951,Facería 67,2020-11-01,0,0,1,0.00,0.00,1
-10305385,Facería 76,2020-11-01,0,0,1,0.00,0.00,1
-10305171,Facería 79,2020-11-01,0,0,1,0.00,0.00,1
-10305349,Facería 81,2020-11-01,0,0,1,0.00,0.00,1
-10305348,Facería 82,2020-11-01,0,0,1,0.00,0.00,1
-10305300,Facería 83,2020-11-01,0,0,1,0.00,0.00,1
-10305188,Facería 85,2020-11-01,0,0,1,0.00,0.00,1
-10305606,Facería 87,2020-11-01,0,0,1,0.00,0.00,1
-10305589,Facería 88,2020-11-01,0,0,1,0.00,0.00,1
-10305546,Facería 9,2020-11-01,0,0,1,0.00,0.00,1
-10305605,Facería 91,2020-11-01,0,0,1,0.00,0.00,1
,Lokiz mendilerroa / Sierra de Lóquiz,2020-11-01,0,0,1,0.00,0.00,1
-346539,Monte Común de las Améscoas/Ameskoa mendiak,2020-11-01,0,0,1,0.00,0.00,1
-342332,Urbasa,2020-11-01,0,0,1,0.00,0.00,1
