id,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
18147,Órgiva,2020-01-01,1,261,1.00,32.60,40025.41,1.00
18148,Otívar,2020-01-01,0,84,1.00,0.00,4939.59,1.00
18149,Villa de Otura,2020-01-01,3,434,0.99,144.68,76056.13,1.00
18150,Padul,2020-01-01,0,546,1.00,0.00,83624.52,1.00
18151,Pampaneira,2020-01-01,7,88,0.92,188.94,3957.18,0.95
18152,Pedro Martínez,2020-01-01,2,105,0.98,99.70,11568.88,0.99
18153,Peligros,2020-01-01,9,481,0.98,310.66,68679.09,1.00
18154,La Peza,2020-01-01,0,159,1.00,0.00,10850.26,1.00
18157,Pinos Genil,2020-01-01,2,112,0.98,21.30,10070.65,1.00
18158,Pinos Puente,2020-01-01,0,487,1.00,0.00,57368.46,1.00
18159,Píñar,2020-01-01,0,110,1.00,0.00,10588.81,1.00
18161,Polícar,2020-01-01,0,46,1.00,0.00,4823.71,1.00
18162,Polopos,2020-01-01,0,181,1.00,0.00,10848.12,1.00
18163,Pórtugos,2020-01-01,0,51,1.00,0.00,3560.75,1.00
18164,Puebla de Don Fadrique,2020-01-01,1,310,1.00,18.76,26525.90,1.00
18165,Pulianas,2020-01-01,2,223,0.99,35.10,26721.47,1.00
18167,Purullena,2020-01-01,0,176,1.00,0.00,17245.22,1.00
18168,Quéntar,2020-01-01,0,112,1.00,0.00,8355.75,1.00
18170,Rubite,2020-01-01,0,85,1.00,0.00,5955.37,1.00
18171,Salar,2020-01-01,0,123,1.00,0.00,15445.28,1.00
