id,ES-Z,ES-AR,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
50113,ES-Z,ES-AR,Fuendejalón,2020-01-01,25,33,0.24,5173.46,6538.05,0.21
50114,ES-Z,ES-AR,Fuendetodos,2020-01-01,11,25,0.56,1287.66,3124.50,0.59
50115,ES-Z,ES-AR,Fuentes de Ebro,2020-01-01,50,173,0.71,4950.19,24203.98,0.80
50116,ES-Z,ES-AR,Fuentes de Jiloca,2020-01-01,26,26,0.00,4514.77,4514.77,0.00
50117,ES-Z,ES-AR,Gallocanta,2020-01-01,5,25,0.80,408.35,3086.04,0.87
50118,ES-Z,ES-AR,Gallur,2020-01-01,46,124,0.63,7420.28,20703.94,0.64
50119,ES-Z,ES-AR,Gelsa,2020-01-01,45,55,0.18,6238.33,7516.04,0.17
50120,ES-Z,ES-AR,Godojos,2020-01-01,20,34,0.41,1723.65,3056.47,0.44
50121,ES-Z,ES-AR,Gotor,2020-01-01,12,12,0.00,2414.94,2414.94,0.00
50122,ES-Z,ES-AR,Grisel,2020-01-01,1,16,0.94,43.34,831.63,0.95
50123,ES-Z,ES-AR,Grisén,2020-01-01,13,31,0.58,1701.86,4210.08,0.60
50124,ES-Z,ES-AR,Herrera de los Navarros,2020-01-01,26,26,0.00,4339.54,4339.54,0.00
50125,ES-Z,ES-AR,Ibdes,2020-01-01,105,105,0.00,8683.20,8683.20,0.00
50126,ES-Z,ES-AR,Illueca,2020-01-01,11,67,0.84,3015.70,9733.46,0.69
50128,ES-Z,ES-AR,Isuerre,2020-01-01,4,20,0.80,582.80,1646.88,0.65
50129,ES-Z,ES-AR,Jaraba,2020-01-01,18,29,0.38,1082.19,2569.30,0.58
50130,ES-Z,ES-AR,Jarque de Moncayo,2020-01-01,24,24,0.00,3977.58,3977.58,0.00
50131,ES-Z,ES-AR,Jaulín,2020-01-01,11,35,0.69,1544.00,3668.66,0.58
50132,ES-Z,ES-AR,La Joyosa,2020-01-01,25,27,0.07,5602.18,5840.14,0.04
50133,ES-Z,ES-AR,Lagata,2020-01-01,2,11,0.82,263.94,1713.70,0.85
50134,ES-Z,ES-AR,Langa del Castillo,2020-01-01,10,10,0.00,2302.67,2302.67,0.00
50135,ES-Z,ES-AR,Layana,2020-01-01,16,16,0.00,2626.10,2626.10,0.00
50136,ES-Z,ES-AR,Lécera,2020-01-01,10,61,0.84,1177.77,8458.29,0.86
50137,ES-Z,ES-AR,Leciñena,2020-01-01,47,47,0.00,10922.73,10922.73,0.00
50138,ES-Z,ES-AR,Lechón,2020-01-01,6,6,0.00,838.27,838.27,0.00
50139,ES-Z,ES-AR,Letux,2020-01-01,20,22,0.09,7022.82,7172.77,0.02
50140,ES-Z,ES-AR,Litago,2020-01-01,23,23,0.00,3374.55,3374.55,0.00
50141,ES-Z,ES-AR,Lituénigo,2020-01-01,10,10,0.00,1322.95,1322.95,0.00
50142,ES-Z,ES-AR,Lobera de Onsella,2020-01-01,5,5,0.00,689.41,689.41,0.00
50143,ES-Z,ES-AR,Longares,2020-01-01,22,25,0.12,4880.21,5303.94,0.08
50144,ES-Z,ES-AR,Longás,2020-01-01,2,12,0.83,100.34,701.36,0.86
50146,ES-Z,ES-AR,Lucena de Jalón,2020-01-01,14,18,0.22,4114.43,4570.05,0.10
50147,ES-Z,ES-AR,Luceni,2020-01-01,0,44,1.00,0.00,6916.38,1.00
50148,ES-Z,ES-AR,Luesia,2020-01-01,27,27,0.00,4228.45,4228.45,0.00
50149,ES-Z,ES-AR,Luesma,2020-01-01,9,9,0.00,908.18,908.18,0.00
50150,ES-Z,ES-AR,Lumpiaque,2020-01-01,57,57,0.00,10143.61,10143.61,0.00
50151,ES-Z,ES-AR,Luna,2020-01-01,15,60,0.75,1420.43,7811.05,0.82
50152,ES-Z,ES-AR,Maella,2020-01-01,16,69,0.77,1585.03,9194.03,0.83
50153,ES-Z,ES-AR,Magallón,2020-01-01,60,61,0.02,11105.76,11807.91,0.06
50154,ES-Z,ES-AR,Mainar,2020-01-01,12,13,0.08,1704.93,2113.02,0.19
50155,ES-Z,ES-AR,Malanquilla,2020-01-01,11,11,0.00,1896.12,1896.12,0.00
50156,ES-Z,ES-AR,Maleján,2020-01-01,6,6,0.00,547.53,547.53,0.00
50157,ES-Z,ES-AR,Malón,2020-01-01,17,17,0.00,3845.39,3845.39,0.00
50159,ES-Z,ES-AR,Maluenda,2020-01-01,27,58,0.53,1504.77,5873.49,0.74
