id,ES-BU,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
09241,ES-BU,ES-CL,Orbaneja Riopico,2020-01-01,15,48,0.69,668.72,3226.19,0.79
09242,ES-BU,ES-CL,Padilla de Abajo,2020-01-01,15,33,0.55,1351.45,2854.73,0.53
09243,ES-BU,ES-CL,Padilla de Arriba,2020-01-01,11,24,0.54,503.04,1848.64,0.73
09244,ES-BU,ES-CL,Padrones de Bureba,2020-01-01,5,18,0.72,265.46,1139.28,0.77
09246,ES-BU,ES-CL,Palacios de la Sierra,2020-01-01,76,134,0.43,6135.26,12499.52,0.51
09247,ES-BU,ES-CL,Palacios de Riopisuerga,2020-01-01,15,15,0.00,1608.66,1608.66,0.00
09248,ES-BU,ES-CL,Palazuelos de la Sierra,2020-01-01,28,32,0.13,1834.41,2296.76,0.20
09249,ES-BU,ES-CL,Palazuelos de Muñó,2020-01-01,26,36,0.28,1103.12,2223.46,0.50
09250,ES-BU,ES-CL,Pampliega,2020-01-01,26,88,0.70,953.93,5899.51,0.84
09251,ES-BU,ES-CL,Pancorbo,2020-01-01,12,86,0.86,714.30,9991.80,0.93
09253,ES-BU,ES-CL,Pardilla,2020-01-01,21,34,0.38,1384.80,2361.78,0.41
09255,ES-BU,ES-CL,Partido de la Sierra en Tobalina,2020-01-01,0,26,1.00,0.00,2453.57,1.00
09256,ES-BU,ES-CL,Pedrosa de Duero,2020-01-01,80,80,0.00,9288.24,9288.24,0.00
09257,ES-BU,ES-CL,Pedrosa del Páramo,2020-01-01,17,17,0.00,1866.49,1866.49,0.00
09258,ES-BU,ES-CL,Pedrosa del Príncipe,2020-01-01,12,41,0.71,510.04,3126.03,0.84
09259,ES-BU,ES-CL,Pedrosa de Río Úrbel,2020-01-01,46,56,0.18,3997.88,4776.87,0.16
09261,ES-BU,ES-CL,Peñaranda de Duero,2020-01-01,6,72,0.92,233.35,6269.11,0.96
09262,ES-BU,ES-CL,Peral de Arlanza,2020-01-01,5,56,0.91,147.48,3634.19,0.96
09265,ES-BU,ES-CL,Piérnigas,2020-01-01,0,16,1.00,0.00,1437.98,1.00
09266,ES-BU,ES-CL,Pineda de la Sierra,2020-01-01,29,30,0.03,2502.69,2548.43,0.02
09267,ES-BU,ES-CL,Pineda Trasmonte,2020-01-01,26,26,0.00,2403.16,2403.16,0.00
09268,ES-BU,ES-CL,Pinilla de los Barruecos,2020-01-01,19,59,0.68,879.04,2929.05,0.70
09269,ES-BU,ES-CL,Pinilla de los Moros,2020-01-01,12,31,0.61,735.40,1703.08,0.57
09270,ES-BU,ES-CL,Pinilla Trasmonte,2020-01-01,29,29,0.00,3499.45,3499.45,0.00
09272,ES-BU,ES-CL,Poza de la Sal,2020-01-01,27,125,0.78,952.01,11807.97,0.92
09273,ES-BU,ES-CL,Prádanos de Bureba,2020-01-01,14,44,0.68,322.84,2409.72,0.87
09274,ES-BU,ES-CL,Pradoluengo,2020-01-01,82,196,0.58,3893.36,11961.23,0.67
09275,ES-BU,ES-CL,Presencio,2020-01-01,28,66,0.58,1519.41,4442.08,0.66
09276,ES-BU,ES-CL,La Puebla de Arganzón,2020-01-01,1,49,0.98,143.02,5239.27,0.97
09277,ES-BU,ES-CL,Puentedura,2020-01-01,7,38,0.82,282.65,3024.65,0.91
09279,ES-BU,ES-CL,Quemada,2020-01-01,8,51,0.84,456.04,5345.50,0.91
09280,ES-BU,ES-CL,Quintanabureba,2020-01-01,19,19,0.00,1672.45,1672.45,0.00
09281,ES-BU,ES-CL,Quintana del Pidio,2020-01-01,30,30,0.00,3108.18,3108.18,0.00
09283,ES-BU,ES-CL,Quintanaélez,2020-01-01,13,24,0.46,1125.09,2082.89,0.46
09287,ES-BU,ES-CL,Quintanaortuño,2020-01-01,13,52,0.75,499.48,3439.44,0.85
09288,ES-BU,ES-CL,Quintanapalla,2020-01-01,3,48,0.94,80.50,2638.53,0.97
09289,ES-BU,ES-CL,Quintanar de la Sierra,2020-01-01,97,174,0.44,8970.67,18530.56,0.52
09292,ES-BU,ES-CL,Quintanavides,2020-01-01,7,31,0.77,486.17,2293.95,0.79
09294,ES-BU,ES-CL,Quintanilla de la Mata,2020-01-01,16,23,0.30,2062.39,2337.33,0.12
09295,ES-BU,ES-CL,Quintanilla del Coco,2020-01-01,7,35,0.80,503.49,1739.61,0.71
09297,ES-BU,ES-CL,Las Quintanillas,2020-01-01,24,84,0.71,801.14,5243.33,0.85
09298,ES-BU,ES-CL,Quintanilla San García,2020-01-01,17,17,0.00,1727.11,1727.11,0.00
09301,ES-BU,ES-CL,Quintanilla Vivar,2020-01-01,2,81,0.98,102.85,8644.25,0.99
09302,ES-BU,ES-CL,Rabanera del Pinar,2020-01-01,34,71,0.52,2286.59,5463.41,0.58
09303,ES-BU,ES-CL,Rábanos,2020-01-01,13,32,0.59,1162.88,2212.89,0.47
09304,ES-BU,ES-CL,Rabé de las Calzadas,2020-01-01,10,38,0.74,413.20,3586.01,0.88
09306,ES-BU,ES-CL,Rebolledo de la Torre,2020-01-01,30,38,0.21,3139.84,4140.53,0.24
09307,ES-BU,ES-CL,Redecilla del Camino,2020-01-01,17,28,0.39,1085.24,2521.36,0.57
09308,ES-BU,ES-CL,Redecilla del Campo,2020-01-01,22,46,0.52,1536.95,3442.19,0.55
09309,ES-BU,ES-CL,Regumiel de la Sierra,2020-01-01,62,79,0.22,4236.95,6082.35,0.30
09310,ES-BU,ES-CL,Reinoso,2020-01-01,9,9,0.00,785.91,785.91,0.00
09311,ES-BU,ES-CL,Retuerta,2020-01-01,2,28,0.93,386.30,2068.75,0.81
09312,ES-BU,ES-CL,La Revilla y Ahedo,2020-01-01,27,85,0.68,2201.10,5574.09,0.61
09314,ES-BU,ES-CL,Revilla del Campo,2020-01-01,5,63,0.92,156.32,3533.63,0.96
09315,ES-BU,ES-CL,Revillarruz,2020-01-01,12,102,0.88,1248.05,10020.33,0.88
09316,ES-BU,ES-CL,Revilla Vallejera,2020-01-01,58,70,0.17,5681.01,6687.68,0.15
09317,ES-BU,ES-CL,Rezmondo,2020-01-01,8,17,0.53,389.56,1105.22,0.65
09318,ES-BU,ES-CL,Riocavado de la Sierra,2020-01-01,10,25,0.60,167.96,1749.77,0.90
09321,ES-BU,ES-CL,Roa,2020-01-01,37,108,0.66,3512.30,13765.64,0.74
09323,ES-BU,ES-CL,Rojas,2020-01-01,0,25,1.00,0.00,2403.44,1.00
09325,ES-BU,ES-CL,Royuela de Río Franco,2020-01-01,45,45,0.00,5661.29,5661.29,0.00
09326,ES-BU,ES-CL,Rubena,2020-01-01,0,35,1.00,0.00,2166.42,1.00
09327,ES-BU,ES-CL,Rublacedo de Abajo,2020-01-01,14,19,0.26,1474.12,2404.57,0.39
09328,ES-BU,ES-CL,Rucandio,2020-01-01,14,26,0.46,1172.81,2074.19,0.43
09329,ES-BU,ES-CL,Salas de Bureba,2020-01-01,13,13,0.00,1881.39,1881.39,0.00
09330,ES-BU,ES-CL,Salas de los Infantes,2020-01-01,52,188,0.72,3800.03,18768.45,0.80
09332,ES-BU,ES-CL,Saldaña de Burgos,2020-01-01,33,84,0.61,6042.74,8335.39,0.28
09334,ES-BU,ES-CL,Salinillas de Bureba,2020-01-01,14,19,0.26,1422.85,1759.53,0.19
09335,ES-BU,ES-CL,San Adrián de Juarros,2020-01-01,6,26,0.77,288.85,2265.50,0.87
09337,ES-BU,ES-CL,San Juan del Monte,2020-01-01,20,33,0.39,1137.17,2274.14,0.50
09338,ES-BU,ES-CL,San Mamés de Burgos,2020-01-01,13,49,0.73,632.55,3283.63,0.81
09339,ES-BU,ES-CL,San Martín de Rubiales,2020-01-01,25,25,0.00,2632.13,2632.13,0.00
09340,ES-BU,ES-CL,San Millán de Lara,2020-01-01,31,41,0.24,2208.92,3187.81,0.31
09343,ES-BU,ES-CL,Santa Cecilia,2020-01-01,38,40,0.05,4050.08,4160.79,0.03
09345,ES-BU,ES-CL,Santa Cruz de la Salceda,2020-01-01,17,33,0.48,1165.61,3049.41,0.62
