id,ES-AV,ES-CL,name,date,incomplete,total,percentage,length_incomplete,length_total,length_percentage
05240,ES-AV,ES-CL,Sotillo de la Adrada,2020-01-01,159,179,0.11,30313.48,36141.58,0.16
05241,ES-AV,ES-CL,El Tiemblo,2020-01-01,131,270,0.51,25445.53,51686.12,0.51
05242,ES-AV,ES-CL,Tiñosillos,2020-01-01,20,61,0.67,1490.37,8019.69,0.81
05243,ES-AV,ES-CL,Tolbaños,2020-01-01,26,65,0.60,2559.70,6161.37,0.58
05244,ES-AV,ES-CL,Tormellas,2020-01-01,10,10,0.00,1469.54,1469.54,0.00
05245,ES-AV,ES-CL,Tornadizos de Ávila,2020-01-01,19,57,0.67,1734.93,5826.38,0.70
05246,ES-AV,ES-CL,Tórtoles,2020-01-01,0,29,1.00,0.00,3431.77,1.00
05247,ES-AV,ES-CL,La Torre,2020-01-01,36,138,0.74,2805.15,11678.55,0.76
05249,ES-AV,ES-CL,Umbrías,2020-01-01,32,32,0.00,2573.38,2573.38,0.00
05251,ES-AV,ES-CL,Vadillo de la Sierra,2020-01-01,14,66,0.79,949.61,7245.47,0.87
05252,ES-AV,ES-CL,Valdecasa,2020-01-01,0,26,1.00,0.00,2726.00,1.00
05253,ES-AV,ES-CL,Vega de Santa María,2020-01-01,8,28,0.71,482.57,2645.87,0.82
05254,ES-AV,ES-CL,Velayos,2020-01-01,31,31,0.00,3672.44,3672.44,0.00
05256,ES-AV,ES-CL,Villaflor,2020-01-01,0,15,1.00,0.00,2785.87,1.00
05257,ES-AV,ES-CL,Villafranca de la Sierra,2020-01-01,3,26,0.88,440.10,2199.11,0.80
05258,ES-AV,ES-CL,Villanueva de Gómez,2020-01-01,3,40,0.93,147.67,3553.01,0.96
05259,ES-AV,ES-CL,Villanueva del Aceral,2020-01-01,0,18,1.00,0.00,3008.45,1.00
05260,ES-AV,ES-CL,Villanueva del Campillo,2020-01-01,10,56,0.82,549.14,6688.35,0.92
05261,ES-AV,ES-CL,Villar de Corneja,2020-01-01,3,3,0.00,673.53,673.53,0.00
05262,ES-AV,ES-CL,Villarejo del Valle,2020-01-01,18,18,0.00,2230.41,2230.41,0.00
05263,ES-AV,ES-CL,Villatoro,2020-01-01,6,28,0.79,1229.52,4321.40,0.72
05264,ES-AV,ES-CL,Viñegra de Moraña,2020-01-01,1,21,0.95,82.95,2483.11,0.97
05265,ES-AV,ES-CL,Vita,2020-01-01,0,24,1.00,0.00,2465.86,1.00
05266,ES-AV,ES-CL,Zapardiel de la Cañada,2020-01-01,0,39,1.00,0.00,4438.48,1.00
05267,ES-AV,ES-CL,Zapardiel de la Ribera,2020-01-01,21,21,0.00,2380.91,2380.91,0.00
05901,ES-AV,ES-CL,San Juan de Gredos,2020-01-01,70,86,0.19,8578.64,10493.64,0.18
05902,ES-AV,ES-CL,Santa María del Cubillo,2020-01-01,4,63,0.94,190.73,6538.32,0.97
05903,ES-AV,ES-CL,Diego del Carpio,2020-01-01,10,72,0.86,907.19,7922.96,0.89
05904,ES-AV,ES-CL,Santiago del Tormes,2020-01-01,49,53,0.08,5717.94,6150.31,0.07
05905,ES-AV,ES-CL,Villanueva de Ávila,2020-01-01,39,46,0.15,5379.17,6340.38,0.15
